id,使う,レア度,名前,説明
iincho,FALSE,UR,委員長の威厳,相手は自分の周り1マスに近づけない。ただしメガホンのみ近づくことが可能。
pakuri,FALSE,SSR,パクリ大国代表村上,この試合で誰かが装備している武器を1つコピーして使用できる。試合開始前にコピー先を宣言する。
maeba,FALSE,SSR,平井の人造前歯,使用する前のターンに宣言が必要。宣言した次の自分のターン、相手陣地に向かって同じ縦列を何マスでも一気に進める。進路上の敵は撃破。何度でも使える。
iemuri,FALSE,SSR,門間の「ごめん今日家無理だわ」,発動すると、潜伏している敵プレイヤーが全員死亡する。1ゲームに1回のみ。
aga,FALSE,SR,江口のAGA治療薬,殺された時、この装備と殺したキャラの装備を交換する。受け取った相手は外せず、受け渡された後は何の効力もないカードになる。
daichari,TRUE,SR,中村のダイチャリ,見えている相手1人を、強制的に5マス前進させる。潜伏中の相手には効かない。1ゲームに1回のみ。
charisma,FALSE,SR,自称カリスマ山下,味方チームの全てのプレイヤーの行動マスを常に+1する。
ikkun,TRUE,SR,八つ当たりいっくん,この駒が取られた時、取った相手の駒も道連れにする。
shuchi,TRUE,SR,酒池クニ林,味方の女子1人を、自分の縦横1マス隣にワープさせる。1ゲームに1回のみ。
funnel,TRUE,R,ファンネル石井,自らを生贄に捧げ、相手の駒1人を無作為に撃破する。抽選には3枚のハズレが含まれ、ハズレでも自分は消滅する。1ゲームに1回のみ。
zutai,TRUE,R,図体のでかい関原,この駒の行動マスが+2される。ただしこの駒が倒されると、味方の行動マスはゲーム終了まで-1される。
hardgel,TRUE,R,小野寺のハードジェル,選んだ相手の駒を1ターン行動不能にする。1ゲームに1回のみ。
moonwalk,TRUE,R,垂見のムーンウォーク,この駒の行動マスが常に+1される。
phoenix,TRUE,R,桃子のフェニックス,自分が撃破されたその瞬間に限り、自分を本陣（P5・P6 または Q5・Q6）で復活させる。1ゲームに1回のみ。
toyoko,TRUE,R,形上の東横INN,自分が潜伏している部屋の前1マスを相手が通った時、その相手を部屋に連れ込み死亡させる。1ゲームに1回のみ。
onnabancho,TRUE,R,ユウカの女番長,相手チームの女の行動マスを-1する。
virgin,FALSE,R,前田のヴァージンロード,この駒の正面（同じ通り・同じ縦列の相手陣地側）にいる相手の男は、行動マスが-2される。
nonoka,TRUE,R,ファイナルノノカエクスプロージョン,宣言した1ターン後、自分の死と引き換えに、同じ通り（AとB／CとD）にいる潜伏していない全てのプレイヤーを敵味方問わず破壊する。宣言後は行動できない。1ゲームに1回のみ。
chinbo,FALSE,R,吉岡の珍棒,この駒が行動する時、対象が女の場合に限り、周囲1マスまで攻撃が届く。
ogoru,TRUE,R,金澤の「ここは俺が奢るわ」,自分チームの80期の行動マスを、このターンだけ+1する。1ゲームに1回のみ。
shinasadame,TRUE,R,品定め,好きな潜伏所を1つ選び、そこに誰がいるかを確認できる。1ゲームに1回のみ。
